Record Length,40000,,Source,CH1
Sample Interval,CH1:0.0003999999899,,Second,Volt
,,,2.527999878,0.48
,,,2.528399944,0.52
,,,2.528800011,0.48
,,,2.529199839,0.48
,,,2.529599905,0.48
,,,2.529999971,0.48
,,,2.530400038,0.5
,,,2.530799866,0.5
,,,2.531199932,0.48
,,,2.531599998,0.5
,,,2.531999826,0.5
,,,2.532399893,0.48
,,,2.532799959,0.48
,,,2.533200026,0.5
,,,2.533599854,0.48
,,,2.53399992,0.48
,,,2.534399986,0.5
,,,2.534800053,0.5
,,,2.535199881,0.48
,,,2.535599947,0.48
,,,2.536000013,0.48
,,,2.536399841,0.48
,,,2.536799908,0.5
,,,2.537199974,0.52
,,,2.53760004,0.48
,,,2.537999868,0.48
,,,2.538399935,0.5
,,,2.538800001,0.5
,,,2.539199829,0.48
,,,2.539599895,0.48
,,,2.539999962,0.48
,,,2.540400028,0.48
,,,2.540799856,0.5
,,,2.541199923,0.48
,,,2.541599989,0.48
,,,2.541999817,0.5
,,,2.542399883,0.48
,,,2.54279995,0.48
,,,2.543200016,0.5
,,,2.543599844,0.48
